Time;NOK;USD;DKK;PLN;SEK
4,55;0,393116384;0,690099439;0,221765185;0,261731817;0,075634948
4,56;0,389363175;0,689034343;0,220018432;0,266968278;0,072339742
4,57;0,3857663;0,688048727;0,218388038;0,272590724;0,069221526
4,58;0,382308158;0,68716167;0,216930252;0,27864024;0,0662845
4,59;0,378971151;0,686392255;0,215701319;0,285157912;0,063532869
4,6;0,375737679;0,685759564;0,214757486;0,292184823;0,060970833
4,61;0,372590144;0,685282678;0,214155001;0,299762059;0,058602594
4,62;0,369510947;0,684980679;0,213950109;0,307930705;0,056432356
4,63;0,366482159;0,684822252;0,214193395;0,31684893;0,054459033
4,64;0,36349658;0,684536966;0,214865092;0,327165822;0,052653696
4,65;0,360567898;0,684126408;0,215908369;0,338798034;0,051011652
4,66;0,357711502;0,683643993;0,217267387;0,351534635;0,049533338
4,67;0,354942779;0,683143135;0,218886306;0,365164691;0,048219192
4,68;0,35227712;0,682677248;0,220709287;0,379477272;0,047069649
4,69;0,349729913;0,682299746;0,222680491;0,394261443;0,046085146
4,7;0,347316549;0,682064044;0,22474408;0,409306275;0,045266122
4,71;0,345052415;0,682023556;0,226844213;0,424400833;0,044613013
4,72;0,3429529;0,682231696;0,228925052;0,439334186;0,044126255
4,73;0,341033395;0,682741878;0,230930758;0,453895403;0,043806286
4,74;0,339309289;0,683607517;0,23280549;0,467873549;0,043653542
4,75;0,337795969;0,684882027;0,234493412;0,481057694;0,043668461
4,76;0,336508826;0,686618823;0,235938682;0,493236905;0,04385148
4,77;0,335463248;0,688871318;0,237085462;0,504200251;0,044203034
4,78;0,334674625;0,691692926;0,237877913;0,513736798;0,044723563
4,79;0,334047966;0,694903712;0,238544025;0,522690552;0,045257638
4,8;0,333444403;0,698181824;0,23945932;0,53247267;0,045619321
4,81;0,332913587;0,701569433;0,240538946;0,542796379;0,045910956
4,82;0,332507515;0,705113456;0,241692166;0,553353123;0,04623834
4,83;0,332278185;0,708860809;0,242828245;0,563834347;0,046707272
4,84;0,332277594;0,712858408;0,243856447;0,573931494;0,047423549
4,85;0,332557741;0,717153169;0,244686035;0,58333601;0,04849297
4,86;0,333170623;0,72179201;0,245226275;0,591739338;0,050021333
4,87;0,334168237;0,726821845;0,245386429;0,598832923;0,052114435
4,88;0,335634313;0,732422142;0,245119135;0,604383078;0,054857945
4,89;0,33776458;0,739349005;0,244632316;0,608688857;0,05817894
4,9;0,34052353;0,747561824;0,243976804;0,611921344;0,062015039
4,91;0,343838738;0,756877873;0,24316433;0,614194355;0,066317552
4,92;0,347637782;0,767114426;0,242206623;0,615621703;0,071037791
4,93;0,351848238;0,778088755;0,241115413;0,616317204;0,076127066
4,94;0,356397682;0,789618132;0,239902429;0,616394671;0,081536689
4,95;0,361213691;0,801519832;0,238579401;0,615967918;0,08721797
4,96;0,366223841;0,813611127;0,23715806;0,615150761;0,093122223
4,97;0,371355708;0,82570929;0,235650134;0,614057014;0,099200756
4,98;0,37653687;0,837631594;0,234067353;0,612800491;0,105404882
4,99;0,381694902;0,849195312;0,232421447;0,611495006;0,111685911
5;0,386757382;0,860217717;0,230724146;0,610254374;0,117995155
5,01;0,391651884;0,870516083;0,22898718;0,60919241;0,124283926
5,02;0,396305987;0,879907681;0,227222278;0,608422927;0,130503533
5,03;0,400647265;0,888209786;0,225441169;0,608059741;0,136605289
